,countries,variable_type,Region,seried_id,date,records
Date.656,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2013,2340
Date.657,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2013,3630
Date.658,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2013,2990
Date.659,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2013,4890
Date.660,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2014,6140
Date.661,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2014,3250
Date.662,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2014,2970
Date.663,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2014,3380
Date.664,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2014,2890
Date.665,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2014,3340
Date.666,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2014,2390
Date.667,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2014,3590
Date.668,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2014,2230
Date.669,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2014,3820
Date.670,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2014,3590
Date.671,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2014,5460
Date.672,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2015,7300
Date.673,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2015,4060
Date.674,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2015,3340
Date.675,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2015,3900
Date.676,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2015,3390
Date.677,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2015,3370
Date.678,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2015,2650
Date.679,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2015,3540
Date.680,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2015,2810
Date.681,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2015,4570
Date.682,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2015,3940
Date.683,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2015,5760
Date.684,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2016,7470
Date.685,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2016,3450
Date.686,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2016,3840
Date.687,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2016,3850
Date.688,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2016,3260
Date.689,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2016,3460
Date.690,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2016,3100
Date.691,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2016,3610
Date.692,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2016,2460
Date.693,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2016,4880
Date.694,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2016,3720
Date.695,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2016,6280
Date.696,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2017,7220
Date.697,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2017,3770
Date.698,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2017,4220
Date.699,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2017,3890
Date.700,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2017,3220
Date.701,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2017,3580
Date.702,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2017,2750
Date.703,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2017,3770
Date.704,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2017,2960
Date.705,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2017,4660
Date.706,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2017,4310
Date.707,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2017,6070
Date.708,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2018,7190
Date.709,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2018,4640
Date.710,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2018,4380
Date.711,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2018,3750
Date.712,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2018,4010
Date.713,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2018,4190
Date.714,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2018,3010
Date.715,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2018,4300
Date.716,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2018,3470
Date.717,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2018,4060
Date.718,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2018,4210
Date.719,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2018,6560
Date.720,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2019,7310
Date.721,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2019,4610
Date.722,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2019,4220
Date.723,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2019,3450
Date.724,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2019,3620
Date.725,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2019,4260
Date.726,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2019,2480
Date.727,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2019,4370
Date.728,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2019,3790
Date.729,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2019,4700
Date.730,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2019,5010
Date.731,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2019,6750
Date.732,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2020,7130
Date.733,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2020,4450
Date.734,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2020,1960
Date.735,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2020,30
Date.736,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2020,40
Date.737,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2020,30
Date.738,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2020,40
Date.739,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2020,80
Date.740,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2020,60
Date.741,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2020,70
Date.742,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2020,70
Date.743,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2020,50
Date.744,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2021,50
Date.745,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2021,50
Date.746,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2021,50
Date.747,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2021,50
Date.748,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2021,50
Date.749,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2021,50
Date.750,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2021,60
Date.751,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2021,50
Date.752,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2021,30
Date.753,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2021,30
Date.754,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2021,50
Date.755,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2021,80
Date.756,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2022,270
Date.757,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2022,230
Date.758,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2022,1200
Date.759,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2022,2730
Date.760,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2022,1970
Date.761,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2022,2960
Date.762,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2022,2090
Date.763,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2022,3060
Date.764,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2022,2060
Date.765,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2022,4230
Date.766,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2022,3280
Date.767,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2022,4550
Date.768,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1991,4130
Date.769,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1991,1950
Date.770,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1991,2400
Date.771,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1991,2640
Date.772,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1991,2090
Date.773,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1991,3380
Date.774,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1991,2790
Date.775,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1991,2650
Date.776,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1991,3100
Date.777,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1991,2940
Date.778,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1991,2850
Date.779,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1991,4260
Date.780,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1992,4090
Date.781,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1992,2050
Date.782,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1992,2070
Date.783,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1992,3360
Date.784,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1992,2270
Date.785,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1992,2620
Date.786,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1992,4080
Date.787,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1992,2540
Date.788,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1992,2950
Date.789,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1992,3210
Date.790,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1992,3130
Date.791,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1992,4590
Date.792,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1993,4650
Date.793,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1993,2690
Date.794,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1993,2140
Date.795,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1993,3300
Date.796,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1993,2640
Date.797,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1993,3340
Date.798,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1993,4050
Date.799,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1993,2870
Date.800,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1993,2910
Date.801,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1993,3430
Date.802,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1993,3440
Date.803,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1993,4970
Date.804,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1994,4720
Date.805,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1994,2930
Date.806,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1994,2930
Date.807,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1994,3490
Date.808,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1994,2790
Date.809,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1994,3810
Date.810,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1994,3910
Date.811,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1994,2320
Date.812,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1994,3720
Date.813,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1994,3200
Date.814,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1994,3460
Date.815,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1994,4650
Date.816,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1995,4170
Date.817,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1995,2710
Date.818,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1995,2850
Date.819,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1995,3770
Date.820,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1995,3210
Date.821,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1995,4270
Date.822,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1995,4570
Date.823,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1995,2580
Date.824,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1995,3380
Date.825,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1995,3120
Date.826,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1995,3240
Date.827,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1995,4400
Date.828,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1996,4550
Date.829,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1996,2850
Date.830,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1996,2820
Date.831,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1996,3160
Date.832,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1996,2870
Date.833,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1996,3380
Date.834,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1996,4550
Date.835,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1996,3070
Date.836,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1996,4220
Date.837,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1996,3580
Date.838,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1996,3390
Date.839,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1996,5040
Date.840,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1997,4790
Date.841,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1997,2770
Date.842,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1997,2900
Date.843,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1997,2800
Date.844,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1997,3950
Date.845,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1997,3220
Date.846,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1997,4270
Date.847,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1997,3180
Date.848,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1997,3650
Date.849,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1997,3640
Date.850,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1997,4220
Date.851,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1997,4580
Date.852,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1998,4700
Date.853,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1998,2710
Date.854,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1998,2350
Date.855,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1998,4210
Date.856,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1998,2750
Date.857,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1998,3120
Date.858,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1998,4680
Date.859,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1998,3010
Date.860,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1998,3900
Date.861,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1998,3770
Date.862,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1998,3690
Date.863,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1998,6020
Date.864,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/1999,5250
Date.865,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/1999,2410
Date.866,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/1999,2900
Date.867,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/1999,4790
Date.868,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/1999,3650
Date.869,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/1999,4240
Date.870,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/1999,5820
Date.871,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/1999,2640
Date.872,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/1999,4370
Date.873,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/1999,4710
Date.874,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/1999,3710
Date.875,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/1999,5940
Date.876,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2000,4190
Date.877,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2000,3060
Date.878,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2000,3140
Date.879,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2000,3480
Date.880,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2000,2940
Date.881,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2000,4260
Date.882,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2000,4500
Date.883,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2000,2960
Date.884,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2000,4160
Date.885,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2000,3340
Date.886,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2000,3420
Date.887,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2000,5020
Date.888,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2001,4270
Date.889,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2001,2700
Date.890,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2001,2550
Date.891,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2001,4260
Date.892,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2001,2870
Date.893,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2001,3190
Date.894,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2001,3530
Date.895,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2001,3050
Date.896,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2001,3710
Date.897,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2001,2630
Date.898,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2001,2750
Date.899,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2001,3440
Date.900,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2002,3370
Date.901,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2002,2340
Date.902,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2002,2790
Date.903,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2002,2720
Date.904,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2002,2650
Date.905,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2002,2760
Date.906,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2002,3140
Date.907,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2002,2320
Date.908,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2002,2310
Date.909,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2002,2070
Date.910,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2002,2170
Date.911,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2002,2620
Date.912,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2003,2310
Date.913,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2003,1660
Date.914,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2003,1800
Date.915,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2003,2050
Date.916,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2003,1970
Date.917,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2003,2250
Date.918,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2003,3180
Date.919,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2003,2070
Date.920,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2003,2310
Date.921,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2003,2290
Date.922,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2003,2340
Date.923,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2003,3080
Date.924,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2004,2490
Date.925,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2004,1570
Date.926,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2004,1740
Date.927,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2004,1890
Date.928,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2004,1710
Date.929,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2004,2400
Date.930,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2004,2800
Date.931,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2004,1690
Date.932,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2004,1890
Date.933,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2004,1950
Date.934,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2004,2280
Date.935,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2004,3300
Date.936,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2005,2050
Date.937,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2005,1430
Date.938,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2005,2120
Date.939,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2005,2070
Date.940,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2005,2360
Date.941,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2005,2540
Date.942,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2005,2600
Date.943,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2005,2080
Date.944,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2005,3050
Date.945,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2005,1970
Date.946,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2005,2360
Date.947,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2005,2910
Date.948,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2006,2410
Date.949,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2006,1560
Date.950,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2006,2040
Date.951,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2006,2580
Date.952,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2006,2350
Date.953,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2006,2650
Date.954,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2006,2690
Date.955,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2006,1900
Date.956,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2006,2520
Date.957,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2006,2420
Date.958,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2006,2930
Date.959,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2006,3840
Date.960,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2007,2750
Date.961,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2007,1830
Date.962,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2007,2380
Date.963,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2007,3020
Date.964,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2007,2430
Date.965,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2007,2530
Date.966,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2007,2830
Date.967,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2007,2590
Date.968,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2007,2700
Date.969,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2007,2480
Date.970,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2007,2760
Date.971,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2007,3580
Date.972,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2008,2730
Date.973,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2008,1870
Date.974,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2008,2260
Date.975,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2008,2880
Date.976,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2008,2780
Date.977,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2008,3390
Date.978,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2008,4360
Date.979,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2008,2870
Date.980,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2008,3100
Date.981,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2008,3810
Date.982,Papua New Guinea,Country,Australia and Oceania,A85375845W,11/1/2008,3930
Date.983,Papua New Guinea,Country,Australia and Oceania,A85375845W,12/1/2008,4180
Date.984,Papua New Guinea,Country,Australia and Oceania,A85375845W,1/1/2009,3370
Date.985,Papua New Guinea,Country,Australia and Oceania,A85375845W,2/1/2009,2640
Date.986,Papua New Guinea,Country,Australia and Oceania,A85375845W,3/1/2009,2800
Date.987,Papua New Guinea,Country,Australia and Oceania,A85375845W,4/1/2009,3610
Date.988,Papua New Guinea,Country,Australia and Oceania,A85375845W,5/1/2009,2830
Date.989,Papua New Guinea,Country,Australia and Oceania,A85375845W,6/1/2009,3420
Date.990,Papua New Guinea,Country,Australia and Oceania,A85375845W,7/1/2009,4000
Date.991,Papua New Guinea,Country,Australia and Oceania,A85375845W,8/1/2009,3020
Date.992,Papua New Guinea,Country,Australia and Oceania,A85375845W,9/1/2009,3970
Date.993,Papua New Guinea,Country,Australia and Oceania,A85375845W,10/1/2009,4200
