,countries,variable_type,Region,seried_id,date,records
Date.81,New Zealand,Country,Australia and Oceania,A85375607R,10/1/1997,64700
Date.82,New Zealand,Country,Australia and Oceania,A85375607R,11/1/1997,52260
Date.83,New Zealand,Country,Australia and Oceania,A85375607R,12/1/1997,60400
Date.84,New Zealand,Country,Australia and Oceania,A85375607R,1/1/1998,42310
Date.85,New Zealand,Country,Australia and Oceania,A85375607R,2/1/1998,38060
Date.86,New Zealand,Country,Australia and Oceania,A85375607R,3/1/1998,47820
Date.87,New Zealand,Country,Australia and Oceania,A85375607R,4/1/1998,60450
Date.88,New Zealand,Country,Australia and Oceania,A85375607R,5/1/1998,56380
Date.89,New Zealand,Country,Australia and Oceania,A85375607R,6/1/1998,68120
Date.90,New Zealand,Country,Australia and Oceania,A85375607R,7/1/1998,78550
Date.91,New Zealand,Country,Australia and Oceania,A85375607R,8/1/1998,66560
Date.92,New Zealand,Country,Australia and Oceania,A85375607R,9/1/1998,67150
Date.93,New Zealand,Country,Australia and Oceania,A85375607R,10/1/1998,70510
Date.94,New Zealand,Country,Australia and Oceania,A85375607R,11/1/1998,53540
Date.95,New Zealand,Country,Australia and Oceania,A85375607R,12/1/1998,59960
Date.96,New Zealand,Country,Australia and Oceania,A85375607R,1/1/1999,47130
Date.97,New Zealand,Country,Australia and Oceania,A85375607R,2/1/1999,40020
Date.98,New Zealand,Country,Australia and Oceania,A85375607R,3/1/1999,55870
Date.99,New Zealand,Country,Australia and Oceania,A85375607R,4/1/1999,59370
Date.100,New Zealand,Country,Australia and Oceania,A85375607R,5/1/1999,52540
Date.101,New Zealand,Country,Australia and Oceania,A85375607R,6/1/1999,67660
Date.102,New Zealand,Country,Australia and Oceania,A85375607R,7/1/1999,67620
Date.103,New Zealand,Country,Australia and Oceania,A85375607R,8/1/1999,72830
Date.104,New Zealand,Country,Australia and Oceania,A85375607R,9/1/1999,75290
Date.105,New Zealand,Country,Australia and Oceania,A85375607R,10/1/1999,71840
Date.106,New Zealand,Country,Australia and Oceania,A85375607R,11/1/1999,60380
Date.107,New Zealand,Country,Australia and Oceania,A85375607R,12/1/1999,58240
Date.108,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2000,47780
Date.109,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2000,45000
Date.110,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2000,61740
Date.111,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2000,78080
Date.112,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2000,60310
Date.113,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2000,74000
Date.114,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2000,82400
Date.115,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2000,73270
Date.116,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2000,73370
Date.117,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2000,74420
Date.118,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2000,72540
Date.119,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2000,74120
Date.120,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2001,50600
Date.121,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2001,49540
Date.122,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2001,62350
Date.123,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2001,74960
Date.124,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2001,63450
Date.125,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2001,77420
Date.126,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2001,74470
Date.127,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2001,74500
Date.128,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2001,84100
Date.129,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2001,70840
